id,class
10670,13
10671,4
10676,7
10679,12
10682,8
10684,12
10685,11
10686,17
10687,1
10688,14
10691,9
10693,7
10700,6
10704,13
10705,9
10707,8
10711,17
10716,4
10717,15
10718,9
10719,3
10725,12
10729,17
10730,4
10732,12
10736,17
10737,2
10738,3
10739,8
10744,14
10749,5
10750,11
10751,13
10753,13
10755,4
10756,20
10757,2
10759,1
10760,19
10761,13
10763,11
10767,8
10768,20
10770,6
10772,16
10774,2
10776,10
10777,10
10778,16
10779,20
10783,13
10784,18
10786,20
10795,2
10798,11
10803,4
10806,6
10807,16
10812,14
10814,18
10816,19
10819,18
10821,9
10825,20
10827,14
10832,17
10833,17
10837,15
10838,9
10839,20
10840,16
10842,12
10847,5
10852,14
10854,1
10856,15
10859,17
10861,12
10862,17
10863,4
10865,6
10866,18
10868,14
10870,19
10873,11
10874,19
10875,17
10881,19
10883,12
10885,4
10886,10
10887,13
10888,8
10890,11
10891,13
10892,2
10894,1
10896,18
10900,10
10905,8
10908,8
10910,18
10917,18
10920,16
10926,4
10938,4
10943,14
10946,16
10950,13
10952,4
10953,3
10957,11
10958,10
10959,6
10962,17
10965,3
10966,20
10967,16
10970,11
10972,16
10974,17
10979,15
10980,4
10986,10
10988,14
10989,13
10990,8
10996,14
10997,9
10999,4
11003,18
11006,6
11015,20
11016,7
11022,4
11023,6
11025,11
11030,8
11032,1
11037,18
11039,11
11048,11
11051,17
11052,4
11054,15
11055,6
11059,8
11061,11
11066,13
11069,4
11073,4
11075,13
11080,14
11085,17
11091,6
11096,8
11100,7
11101,4
11103,17
11104,19
11107,8
11108,14
11122,19
11124,4
11125,13
11126,9
11132,11
11134,4
11136,4
11141,14
11144,20
11145,13
11152,14
11154,8
11156,4
11159,18
11162,11
11165,4
11166,12
11170,5
11172,18
11175,4
11177,13
11179,11
11181,20
11187,20
11188,7
11189,3
11191,6
11197,7
11201,5
11203,11
11206,8
11207,11
11210,15
11214,14
11223,11
11225,2
11226,12
11228,6
11229,4
11233,5
11236,4
11237,17
11238,6
11240,4
11242,16
11246,14
11249,13
11251,3
11254,11
11263,11
11265,14
11269,18
11272,20
11274,4
11277,9
11281,14
11282,4
11284,10
11285,6
11286,17
11289,9
11291,6
11293,1
11294,6
11298,15
11302,20
11307,16
11311,15
11312,19
11315,14
11316,4
11317,1
11318,16
11322,12
11329,9
11330,1
11332,16
11333,6
11335,4
11337,6
11338,8
11342,1
11343,17
11352,4
11353,5
11354,17
11355,1
11357,11
11358,12
11359,9
11360,4
11361,4
11362,10
11365,13
11366,11
11367,11
11372,20
11374,4
11376,2
11381,8
11382,17
11388,6
11392,9
11393,8
11394,13
11397,18
11400,11
11401,18
11404,8
11411,3
11415,10
11416,1
11417,9
11418,12
11419,11
11424,17
11427,8
11430,5
11432,7
11435,8
11436,2
11439,14
11440,9
11442,4
11445,9
11447,6
11450,9
11452,3
11457,7
11458,20
11459,7
11462,14
11463,14
11464,1
11465,14
11470,9
11472,14
11474,15
11476,9
11482,20
11484,20
11491,13
11492,19
11494,14
11500,4
11504,4
11508,9
11512,17
11513,12
11517,18
11520,13
11522,9
11530,20
11533,9
11540,6
11543,11
11545,16
11546,2
11550,7
11551,9
11554,2
11556,6
11562,14
11566,9
11574,11
11575,13
11576,8
11578,18
11579,19
11591,17
11593,1
11594,9
11595,9
11597,11
11604,15
11606,5
11610,12
11612,19
11613,4
11614,3
11615,4
11617,14
11621,15
11624,4
11629,6
11634,8
11642,10
11643,19
11647,9
11650,6
11651,17
11657,16
11659,18
11667,5
11673,18
11675,17
11678,19
11680,13
11681,17
11683,18
11684,18
11685,9
11688,17
11691,6
11693,4
11694,6
11695,1
11697,13
11700,9
11704,9
11705,4
11712,12
11713,1
11716,14
11719,8
11723,17
11726,10
11732,8
11733,6
11737,20
11739,11
11748,16
11750,4
11756,13
11759,9
11764,6
11766,7
11767,16
11769,20
11775,17
11777,6
11778,9
11779,13
11783,18
11786,11
11787,17
11789,4
11792,7
11795,4
11796,4
11798,12
11820,2
11821,5
11823,4
11824,19
11834,20
11835,13
11839,1
11841,4
11842,8
11844,1
11846,20
11847,8
11849,17
11851,4
11852,17
11856,13
11857,17
11859,7
11860,10
11866,17
11867,8
11868,17
11872,19
11875,11
11883,20
11887,19
11888,11
11891,16
11895,5
11898,16
11903,15
11904,14
11912,10
11913,19
11916,13
11920,9
11921,19
11923,17
11924,9
11925,20
11926,4
11927,14
11935,15
11939,7
11941,4
11942,12
11944,11
11945,15
11946,20
11947,17
11948,10
11949,14
11950,4
11952,19
11953,6
11954,5
11961,17
11962,6
11963,4
11964,15
11965,18
11966,10
11971,11
11974,2
11982,9
11984,20
11985,1
11986,17
11987,12
11988,4
11990,10
11991,7
11992,15
11993,18
11996,4
11998,8
11999,11
12001,15
12002,20
12004,8
12008,20
12009,8
12011,12
12018,9
12020,3
12021,16
12024,15
12029,15
12030,6
12035,9
12038,20
12039,1
12049,4
12052,6
12053,2
12054,13
12058,4
12062,1
12064,19
12072,7
12074,19
12081,5
12082,10
12087,6
12089,14
12091,16
12093,18
12094,8
12095,14
12099,11
12100,10
12101,1
12102,19
12105,6
12106,12
12112,18
12114,12
12121,19
12124,14
12127,9
12129,9
12130,10
12132,5
12133,19
12149,17
12152,2
12156,14
12157,11
12158,20
12159,17
12160,6
12161,8
12166,8
12170,12
12171,5
12172,8
12175,11
12176,18
12179,10
12184,2
12188,9
12190,13
12196,11
12197,12
12198,18
12201,10
12203,12
12205,2
12206,6
12208,2
12209,3
12211,17
12215,4
12217,6
12218,19
12219,18
12224,11
12227,10
12231,18
12233,18
12234,7
12237,2
12240,8
12242,9
12243,4
12248,8
12251,9
12268,1
12280,9
12282,9
12286,10
12287,13
12289,9
12290,12
12294,10
12299,6
12301,18
12302,5
12306,18
12308,20
12311,9
12318,18
12323,6
12326,7
12329,18
12334,14
12336,6
12337,14
12339,9
12340,7
12342,4
12343,5
12344,14
12348,12
12359,17
12361,4
12362,4
12363,9
12365,8
12368,16
12374,19
12375,3
12377,8
12378,8
12380,16
12387,8
12388,3
12389,11
12390,8
12397,12
12398,20
12401,19
12404,1
12405,18
12408,2
12409,18
12410,14
12412,9
12413,9
12414,18
12416,6
12417,11
12420,13
12421,19
12428,19
12433,13
12440,11
12441,11
12444,18
12445,17
12447,2
12448,9
12450,12
12452,14
12454,14
12457,9
12461,1
12464,8
12465,14
12467,4
12469,17
12471,12
12472,1
12473,20
12475,4
12476,5
12479,10
12483,19
12487,9
12490,9
12493,1
12495,16
12496,8
12499,17
12504,13
12507,14
12510,19
12512,1
12513,4
12514,19
12520,5
12521,20
12526,3
12531,9
12532,2
12533,17
12537,1
12540,12
12543,17
12544,15
12549,5
12550,14
12553,19
12559,8
12560,16
12562,19
12565,14
12571,10
12573,9
12583,4
12585,7
12586,16
12594,17
12596,13
12598,20
12602,10
12606,12
12610,20
12615,19
12618,17
12621,18
12623,8
12624,1
12629,8
12631,3
12632,14
12640,12
12641,1
12642,7
12645,17
12646,16
12648,13
12650,1
12664,6
12665,10
12666,4
12669,14
12670,16
12671,18
12673,12
12675,4
12676,20
12677,17
12679,4
12680,2
12682,4
12686,12
12691,4
12696,11
12698,6
12703,19
12709,4
12710,11
12714,6
12717,12
12719,10
12720,4
12722,4
12725,8
12726,16
12729,9
12731,18
12733,13
12734,11
12736,18
12737,12
12738,17
12739,20
12743,20
12744,2
12746,1
12748,11
12749,14
12751,11
12752,17
12753,8
12754,2
12756,12
12762,20
12764,9
12765,8
12770,9
12771,3
12773,4
12779,13
12787,18
12788,14
12790,9
12791,20
12792,14
12795,14
12798,18
12800,5
12807,7
12809,9
12810,10
12812,1
12815,15
12816,12
12822,4
12823,18
12829,4
12830,15
12832,13
12833,11
12836,1
12837,15
12839,19
12843,16
12846,9
12847,4
12849,18
12853,4
12859,17
12861,13
12865,8
12866,13
12867,6
12869,18
12872,1
12873,14
12877,11
12878,15
12879,17
12882,11
12883,8
12885,9
12887,14
12888,4
12889,4
12890,20
12906,7
12907,11
12910,10
12914,17
12916,18
12917,16
12919,14
12920,19
12925,9
12929,9
12934,8
12938,18
12940,7
12941,4
12943,2
12944,20
12948,20
12950,14
12960,7
12962,20
12963,1
12964,11
12966,2
12967,9
12969,17
12970,8
12973,15
12975,5
12977,4
12981,12
12983,10
12984,4
12985,9
12994,1
13000,13
13001,9
13005,10
13006,6
13007,16
13008,17
13010,3
13011,18
13013,17
13014,17
13017,9
13022,17
13023,11
13032,19
13033,18
13034,2
13035,13
13036,18
13037,4
13045,6
13049,12
13050,18
13051,18
13058,19
13063,14
13065,5
13067,5
13068,17
13069,20
13072,20
13074,16
13075,3
13076,14
13079,12
13081,2
13090,9
13092,4
13096,6
13097,17
13099,7
13106,5
13108,9
13116,10
13117,3
13119,4
13123,13
13129,18
13136,9
13137,20
13138,5
13139,15
13143,17
13145,11
13146,10
13147,7
13149,13
13153,10
13154,16
13157,5
13160,8
13163,9
13168,17
13169,15
13171,8
13172,8
13176,17
13186,8
13190,18
13194,20
13196,18
13198,18
13200,5
13205,13
13209,1
13215,2
13217,15
13220,6
13223,9
13225,20
13226,17
13227,10
13228,7
13233,12
13235,15
13236,4
13237,8
13238,4
13243,13
13244,17
13251,8
13253,11
13257,19
13258,5
13259,18
13263,6
13266,14
13272,17
13275,15
13278,9
13281,8
13284,10
13288,11
13292,17
13295,14
13296,7
13300,17
13306,20
13307,12
13314,4
13315,17
13318,14
13319,9
13323,20
13325,4
13327,5
13328,9
13331,7
13335,5
13337,2
13339,9
13340,10
13349,9
13352,7
13355,11
13361,11
13362,4
13366,11
13376,19
13381,17
13383,2
13384,18
13385,19
13388,6
13390,19
13392,17
13393,16
13394,17
13398,14
13401,15
13402,9
13404,5
13405,14
13408,5
13414,12
13415,20
13416,3
13417,17
13418,13
13432,8
13433,11
13434,7
13435,1
13440,14
13443,4
13445,2
13446,6
13448,11
13451,5
13453,3
13455,4
13456,13
13457,8
13459,18
13464,8
13468,19
13469,3
13472,11
13473,18
13479,4
13480,7
13484,5
13485,13
13486,3
13488,12
13490,17
13493,6
13494,8
13499,9
13500,15
13501,20
13506,8
13510,9
13511,20
13516,9
13518,9
13523,11
13526,11
13531,3
13534,12
13536,9
13538,19
13541,10
13543,5
13544,1
13545,19
13548,9
13549,12
13550,19
13551,17
13553,20
13560,3
13561,10
13562,4
13567,19
13569,13
13570,12
13572,5
13573,17
13578,19
13580,2
13584,1
13585,6
13586,12
13588,6
13591,20
13593,3
13594,18
13596,8
13597,3
13600,13
13602,6
13605,4
13612,4
13615,9
13616,18
13618,5
13620,8
13621,18
13630,17
13633,11
13638,13
13639,17
13640,20
13646,7
13651,18
13654,7
13655,17
13657,14
13659,13
13660,9
13667,10
13669,1
13670,18
13673,17
13675,3
13678,11
13681,9
13683,15
13685,8
13686,16
13690,14
13700,13
13704,2
13706,16
13708,14
13711,4
13717,4
13718,9
13720,4
13722,14
13724,13
13725,19
13726,5
13731,10
13733,18
13737,2
13738,8
13739,9
13743,20
13744,10
13747,2
13748,13
13751,17
13752,17
13754,4
13755,2
13762,16
13768,8
13769,4
13771,16
13781,9
13782,20
13784,14
13792,8
13794,18
13800,4
13803,13
13808,7
13809,20
13811,19
13814,9
13816,16
13817,11
13824,11
13825,20
13827,6
13829,18
13836,20
13837,15
13840,15
13845,18
13849,1
13851,4
13852,4
13858,4
13865,18
13866,19
13867,17
13874,20
13882,3
13883,16
13888,9
13891,9
13894,20
13896,13
13898,3
13905,1
13906,9
13909,8
13910,17
13912,18
13913,18
13917,18
13920,20
13921,9
13922,18
13923,17
13928,16
13931,8
13933,9
13934,19
13939,20
13941,17
13943,12
13946,6
13951,18
13954,4
13956,18
13960,20
13961,19
13963,6
13967,19
13969,6
13970,8
13971,17
13973,9
13974,15
13975,17
13976,14
13983,9
13984,20
13985,4
13988,3
13989,9
13991,16
13992,12
13998,8
14004,12
14008,9
14009,4
14010,17
14012,3
14014,18
14018,2
14024,10
14028,2
14029,12
14035,19
14049,9
14050,18
14053,16
14054,10
14055,19
14057,15
14061,4
14063,9
14066,14
14067,7
14071,9
14076,4
14077,17
14081,5
14083,17
14084,17
14086,15
14098,13
14101,3
14102,16
14105,17
14107,2
14111,15
14112,18
14113,18
14114,11
14121,3
14125,7
14131,5
14133,7
14139,20
14140,12
14144,11
14146,12
14147,9
14150,13
14152,2
14154,16
14155,6
14158,8
14160,19
14162,13
14163,18
14166,9
14167,11
14171,6
14172,18
14173,11
14184,4
14185,2
14187,13
14188,20
14190,7
14193,11
14195,19
14196,19
14197,19
14200,16
14206,15
14207,17
14208,4
14209,4
14210,4
14214,9
14215,12
14220,7
14222,4
14224,13
14226,2
14229,1
14230,18
14232,6
14233,20
14234,14
14236,6
14241,20
14244,17
14245,17
14246,19
14247,9
14250,19
14251,11
14255,10
14261,4
14262,8
14263,6
14264,18
14269,7
14271,8
14278,12
14279,2
14282,9
14283,17
14284,17
14285,13
14292,17
14294,14
14295,7
14298,7
14299,18
14300,9
14303,9
14304,13
14305,4
14308,18
14311,10
14312,4
14315,9
14318,19
14321,7
14327,4
14330,14
14332,9
14337,3
14340,17
14341,14
14342,11
14345,9
14350,10
14351,12
14352,8
14354,9
14355,16
14357,18
14359,15
14361,4
14363,2
14369,16
14370,17
14373,6
14376,12
14377,6
14378,6
14379,9
14381,19
14385,8
14388,14
14389,7
14390,11
14391,4
14396,15
14399,8
14400,19
14401,18
14404,4
14408,18
14410,6
14425,6
14426,18
14430,8
14431,19
14436,14
14443,7
14445,11
14447,14
14450,17
14452,13
14454,14
14457,9
14458,13
14459,6
14462,9
14463,20
14468,5
14469,20
14471,12
14472,17
14474,5
14476,3
14477,8
14480,9
14482,3
14486,12
14488,6
14489,16
14490,2
14494,9
14504,7
14511,13
14512,19
14513,20
14517,16
14529,17
14532,17
14534,9
14535,19
14536,14
14538,1
14539,18
14540,20
14543,7
14545,18
14547,4
14552,15
14553,15
14555,8
14556,4
14562,9
14563,9
14564,17
14567,4
14572,3
14574,4
14575,8
14585,17
14586,2
14594,13
14597,15
14608,6
14609,7
14615,11
14616,18
14619,20
14620,13
14625,13
14629,9
14631,12
14632,13
14633,9
14635,17
14642,4
14644,13
14646,14
14652,4
14654,18
14655,13
14658,20
14659,19
14662,9
14665,1
14667,2
14669,14
14673,11
14676,19
14677,4
14679,11
14680,11
14681,17
14682,4
14684,9
14685,9
14686,5
14687,8
14688,20
14697,3
14698,20
14699,3
14700,15
14706,12
14707,9
14708,8
14709,9
14716,10
14717,9
14718,15
14721,2
14723,1
14724,15
14728,8
14731,9
14732,19
14734,6
14738,14
14743,5
14745,17
14749,11
14750,17
14751,14
14753,2
14759,4
14760,1
14762,11
14763,10
14766,7
14768,20
14770,12
14771,17
14772,7
14777,6
14779,20
14781,9
14785,13
14786,16
14787,18
14790,1
14792,4
14795,12
14798,18
14800,3
14801,17
14803,11
14812,5
14817,4
14825,4
14828,14
14830,14
14831,9
14840,20
14842,4
14843,12
14845,18
14846,9
14847,12
14848,2
14849,9
14851,6
14852,15
14854,18
14855,4
14856,20
14857,9
14859,4
14861,7
14864,8
14865,17
14872,15
14875,1
14876,15
14878,19
14883,19
14887,1
14890,9
14891,11
14893,13
14895,13
14896,13
14899,4
14903,13
14904,13
14905,18
14907,17
14909,16
14910,8
14911,8
14912,12
14914,14
14919,14
14920,20
14921,20
14922,18
14926,1
14931,6
14933,7
14934,8
14937,18
14939,17
14949,16
14952,4
14954,17
14957,19
14958,13
14959,2
14960,15
14961,19
14971,6
14973,18
14975,13
14976,20
14979,16
14980,8
14981,17
14982,17
14984,9
14986,19
14987,4
14991,15
14993,13
14996,2
14997,4
14998,14
14999,17
15000,9
15002,20
15005,20
15013,17
15014,9
15017,19
15019,15
15020,17
15021,9
15031,4
15036,16
15039,9
15040,2
15050,18
15053,8
15056,9
15057,11
15061,14
15062,4
15063,1
15064,1
15066,6
15067,3
15068,15
15072,7
15075,8
15079,6
15081,4
15083,18
15089,6
15090,15
15091,11
15096,5
15097,18
15102,17
15105,1
15107,4
15108,7
15109,9
15111,3
15113,9
15119,4
15120,19
15121,20
15122,20
15123,17
15124,13
15126,7
15127,5
15129,14
15140,11
15142,3
15144,9
15145,15
15147,12
15149,4
15152,15
15156,11
15157,5
15158,19
15160,18
15162,12
15164,17
15169,1
15172,17
15173,7
15175,10
15181,7
15184,9
15185,10
15187,14
15189,4
15191,12
15192,11
15194,6
15195,19
15197,4
15199,2
15202,17
15207,20
15209,8
15211,6
15214,17
15217,16
15223,13
15224,11
15226,9
15227,8
15228,9
15229,8
15236,2
15243,6
15245,11
15247,13
15252,6
15254,1
15257,11
15258,8
15266,9
15269,4
15276,3
15278,18
15282,8
15285,7
15286,14
15293,20
15304,4
15307,9
15314,8
15315,12
15321,8
15324,9
15325,4
15327,14
15335,16
15345,10
15347,10
15348,7
15353,2
15354,13
15357,17
15361,2
15367,18
15368,8
15369,4
15372,12
15382,19
15383,19
15387,6
15390,18
15393,19
15394,4
15396,17
15397,17
15398,14
15400,17
15403,18
15408,8
15413,9
15418,11
15419,13
15420,14
15421,4
15433,14
15434,17
15435,12
15443,10
15444,5
15446,4
15447,19
15449,17
15450,18
15451,7
15455,9
15456,8
15461,16
15463,12
15464,4
15471,9
15473,6
15475,2
15477,11
15480,14
15481,3
15483,17
15484,2
15486,16
15489,11
15490,8
15503,4
15505,20
15506,6
15512,1
15515,9
15517,12
15518,11
15520,2
15521,12
15524,17
15525,4
15526,4
15528,9
15531,3
15534,14
15536,17
15538,1
15540,11
15545,4
15549,7
15556,7
15558,2
15559,9
15561,6
15562,20
15563,18
15570,18
15573,3
15574,9
15577,19
15578,16
15579,9
15581,6
15586,9
15589,9
15592,11
15594,11
15595,9
15596,13
15598,18
15599,4
15600,2
15607,11
15610,12
15612,17
15616,14
15617,9
15620,11
15621,19
15622,16
15627,10
15628,13
15630,9
15634,1
15635,14
15637,5
15641,19
15644,17
15647,11
15648,11
15650,7
15653,1
15654,8
15655,14
15658,11
15660,18
15664,4
15665,19
15666,3
15669,8
15670,19
15674,5
15676,6
15677,15
15678,9
15686,2
15693,4
15694,9
15705,5
15710,12
15712,6
15717,12
15719,17
15720,20
15724,18
15729,4
15731,3
15732,11
15733,2
15735,4
15738,9
15739,7
15740,19
15741,9
15743,13
15745,4
15748,17
15751,9
15752,11
15756,16
15759,16
15761,14
15764,4
15766,11
15773,11
15775,10
15776,19
15778,18
15779,8
15784,18
15790,8
15792,10
15794,4
15797,14
15799,2
15802,12
15803,12
15804,15
15805,4
15811,11
15816,4
15818,20
15820,6
15823,16
15824,8
15827,18
15829,1
15831,17
15833,14
15834,9
15836,6
15838,20
15840,18
15841,9
15844,7
15848,8
15849,20
15850,5
15853,14
15856,6
15858,1
15859,4
15862,14
15867,13
15870,9
15877,1
15883,9
15884,5
15885,19
15888,12
15889,1
15895,10
15897,13
15904,5
15905,15
15906,1
15908,7
15917,6
15920,11
15921,6
15923,12
15924,11
15929,7
15935,19
15939,4
15940,12
15943,9
15944,6
15949,4
15958,14
15962,4
15965,4
15968,11
15969,6
15970,9
15975,3
15976,2
15993,8
15995,9
15998,8
16000,8
16001,6
16003,14
16005,3
16008,19
16015,7
16017,9
16018,8
16019,20
16020,18
16023,14
16030,6
16036,9
16038,4
16039,14
16041,8
16046,2
16047,6
16050,1
16056,9
16057,16
16060,2
16064,12
16065,20
16070,18
16071,11
16072,14
16073,4
16074,9
16076,13
16079,9
16085,11
16090,9
16093,13
16097,16
16098,1
16101,14
16103,4
16107,14
16112,12
16114,10
16117,7
16119,9
16122,9
16123,9
16124,18
16125,11
16126,9
16128,7
16131,17
16139,5
16144,12
16150,18
16151,8
16152,6
16153,14
16156,4
16157,14
16160,10
16165,19
16168,3
16169,9
16171,17
16172,12
16175,9
16176,4
16181,2
16182,14
16188,2
16193,7
16198,15
16203,1
16209,1
16212,13
16215,17
16216,8
16220,9
16223,13
16224,14
16225,19
16235,2
16243,19
16246,4
16251,18
16255,7
16258,6
16260,5
16262,20
16265,18
16267,4
16271,7
16274,17
16275,4
16277,12
16278,3
16279,16
16280,20
16282,3
16284,20
16288,4
16289,16
16297,18
16298,3
16302,10
16303,7
16306,12
16307,8
16313,3
16315,10
16316,1
16320,13
16325,9
16326,18
16329,9
16335,7
16340,2
16345,7
16349,9
16352,6
16353,1
16361,7
16363,5
16364,2
16366,11
16369,12
16372,19
16376,9
16377,20
16380,10
16381,18
16383,13
16384,14
16385,14
16387,6
16391,19
16392,15
16396,1
16400,20
16405,12
16408,5
16413,8
16415,15
16416,12
16419,12
16421,3
16426,20
16434,7
16435,20
16437,3
16439,8
16449,17
16456,9
16457,10
16460,8
16461,9
16462,4
16466,9
16468,14
16473,15
16487,16
16489,10
16490,20
16494,20
16495,13
16500,3
16505,13
16506,1
16507,17
16512,11
16513,10
16515,17
16517,9
16518,11
16519,19
16521,18
16523,9
16524,4
16527,3
16530,19
16540,13
16544,7
16548,12
16551,18
16557,11
16562,1
16565,1
16570,5
16571,3
16573,17
16575,20
16577,3
16578,11
16579,16
16580,19
16587,11
16590,19
16591,14
16592,7
16593,4
16594,20
16601,11
16604,1
16605,16
16607,5
16616,17
16618,11
16621,13
16623,8
16624,16
16625,9
16626,12
16627,2
16629,17
16634,2
16635,4
16637,4
16639,18
16641,3
16644,4
16646,9
16648,4
16650,3
16653,9
16654,17
16656,11
16663,20
16664,2
16667,17
16670,14
16671,8
16681,17
16691,3
16692,9
16693,15
16709,7
16710,18
16711,4
16719,12
16720,13
16721,6
16724,3
16726,6
16728,20
16729,19
16731,20
16732,15
16742,20
16745,12
16747,13
16748,17
16749,7
16752,9
16756,6
16760,4
16761,2
16762,20
16766,19
16769,7
16770,4
16775,13
16776,19
16777,9
16778,13
16781,20
16784,17
16791,3
16792,18
16793,20
16795,9
16796,4
16799,10
16800,11
16810,17
16811,8
16817,18
16820,7
16828,17
16832,6
16833,12
16835,19
16840,9
16841,1
16844,8
16848,19
16852,18
16854,12
16858,10
16859,17
16864,1
16869,9
16870,2
16873,3
16874,1
16876,14
16878,8
16881,12
16885,18
16892,20
16895,1
16896,13
16898,17
16900,3
16907,12
16910,2
16913,4
16915,8
16916,17
16920,10
16921,6
16922,8
16926,9
16927,19
16928,16
16931,11
16933,17
16934,18
16940,6
16941,20
16944,14
16947,4
16948,8
16949,17
16952,7
16953,12
16954,9
16961,9
16964,14
16965,11
16966,4
16967,6
16970,18
16972,15
16974,6
16975,9
16976,4
16977,12
16979,10
16981,8
16985,9
16986,13
16988,17
16990,1
16992,5
17001,4
17004,8
17005,11
17008,9
17010,4
17016,15
17018,14
17020,9
17021,12
17030,14
17034,4
17041,8
17044,8
17045,11
17047,4
17048,13
17049,9
17053,2
17058,6
17059,4
17061,4
17063,19
17065,12
17068,3
17069,17
17070,9
17074,11
17079,7
17082,9
17086,19
17087,16
17093,5
17094,10
17095,8
17097,8
17099,11
17100,2
17101,18
17102,11
17104,9
17105,11
17107,17
17108,10
17110,20
17115,19
17116,8
17118,7
17120,15
17121,9
17124,12
17125,9
17130,12
17131,13
17132,3
17138,19
17139,10
17140,11
17155,6
17158,3
17160,17
17162,13
17165,18
17166,2
17169,8
17177,20
17183,2
17185,2
17186,19
17188,18
17189,6
17192,17
17193,11
17195,3
17196,19
17203,12
17206,6
17207,12
17209,3
17213,19
17215,20
17219,11
17222,19
17224,8
17227,10
17229,8
17235,12
17244,12
17245,20
17246,2
17247,18
17248,13
17250,4
17253,5
17257,12
17258,9
17259,4
17261,6
17263,4
17264,18
17265,9
17269,5
17273,4
17274,17
17281,12
17283,20
17288,5
17290,2
17298,4
17300,10
17301,2
17302,17
17304,1
17307,18
17310,3
17315,17
17320,18
17323,18
17325,12
17330,1
17333,4
17334,4
17336,16
17344,14
17345,19
17352,5
17354,16
17356,6
17357,20
17358,9
17360,4
17361,12
17366,6
17367,6
17368,18
17369,9
17370,3
17372,2
17377,14
17380,1
17384,11
17388,3
17389,18
17390,11
17392,20
17395,7
17396,10
17397,14
17401,15
17402,12
17408,13
17411,8
17419,4
17421,9
17425,4
17426,14
17432,19
17437,7
17441,14
17445,8
17448,14
17453,20
17456,19
17462,18
17466,12
17467,12
17469,2
17471,6
17479,17
17484,4
17487,16
17490,20
17491,11
17494,9
17497,17
17501,9
17506,4
17508,17
17509,6
17511,1
17516,1
17517,9
17524,11
17531,11
17532,9
17537,16
17539,8
17542,9
17547,17
17553,11
17556,4
17560,9
17564,3
17566,5
17570,7
17573,11
17574,17
17579,12
17581,9
17582,15
17584,17
17586,3
17587,2
17589,3
17593,12
17597,3
17600,6
17602,7
17604,9
17607,9
17611,9
17613,12
17614,14
17616,17
17619,17
17621,9
17628,7
17633,18
17634,4
17635,7
17646,17
17651,11
17652,7
17662,14
17664,16
17665,8
17670,10
17671,9
17675,2
17676,9
17677,17
17680,18
17686,5
17687,4
17688,13
17691,20
17693,11
17695,10
17697,11
17700,14
17706,4
17707,17
17709,20
17710,1
17715,16
17716,17
17717,14
17719,10
17720,3
17721,13
17722,4
17730,16
17732,12
17737,7
17738,2
17739,4
17743,8
17744,4
17745,9
17747,20
17748,12
17749,15
17752,15
17755,4
17757,20
17759,20
17763,19
17769,12
17771,19
17772,3
17775,8
17779,12
17781,11
17783,10
17790,13
17791,8
17792,18
17796,9
17799,11
17801,15
17803,9
17804,19
17808,18
17813,11
17815,17
17816,5
17819,9
17820,3
17821,8
17823,4
17824,11
17828,17
17830,9
